Name,ATK,HP,DEF,SPD,CR%,CD%,EFF%,RES%
Abigail,984,6266,637,117,15,150,0,0
Abyssal Yufine,830,6619,713,106,23,150,0,0
Achates,603,4945,662,103,15,150,0,30
Adin,1081,4572,494,111,23,150,0,0
Adlay,1039,3925,606,114,27,150,0,0
Adventurer Ras,758,6818,672,101,15,150,25,12
ae-GISELLE,1286,4733,652,103,27,160,0,0
ae-KARINA,821,6751,648,110,15,150,18,0
ae-NINGNING,785,5077,634,114,15,150,30,0
ae-WINTER,1057,5542,532,118,15,150,30,0
Afternoon Soak Flan,1182,5299,571,114,15,150,18,0
Ainos,812,3925,599,107,15,150,12,18
Ainos 2.0,812,4801,688,112,15,150,12,18
Ains,951,5517,583,104,15,150,0,0
Ainz Ooal Gown,1039,5299,673,115,15,150,18,18
Aither,712,4592,672,103,15,150,0,0
Albedo,894,6840,694,104,15,150,0,0
Alencia,975,7054,652,106,35,150,0,0
Alexa,1081,4572,494,111,23,150,0,0
All-Rounder Wanda,1005,5333,532,109,15,150,30,0
Ambitious Tywin,894,6840,694,104,15,150,0,0
Amid,694,4855,655,117,15,150,0,30
Amiki,1019,5738,571,98,15,150,0,0
Angel of Light Angelica,957,5016,645,112,15,150,18,18
Angelic Montmorancy,540,5928,729,98,15,150,0,52
Angelica,576,5700,743,98,15,150,0,0
Apocalypse Ravi,975,7054,652,106,15,150,0,0
Aram,785,5077,634,114,15,150,30,0
Aramintha,1197,4572,683,106,15,150,30,0
Arbiter Vildred,1283,5138,522,116,23,150,0,0
Archdemon's Shadow,1316,4777,715,108,15,150,18,0
Architect Laika,1306,4248,652,121,23,150,0,0
Aria,1039,5299,673,115,45,150,18,18
Armin,721,6189,785,91,15,150,0,18
Arowell,758,5826,672,95,15,150,0,12
Arunka,1570,6488,616,102,15,150,0,0
Assassin Cartuja,1119,6091,594,100,15,150,0,0
Assassin Cidd,930,4774,497,128,35,150,0,0
Assassin Coli,1027,5299,469,126,15,150,0,0
Astromancer Elena,1079,5502,564,115,27,160,0,0
Auxiliary Lots,1021,5474,610,117,15,150,0,0
Azalea,1019,5738,571,98,15,150,0,0
Baal & Sezan,1197,4572,683,106,15,150,30,0
Bad Cat Armin,912,5871,614,115,15,150,0,0
Baiken,1228,6266,473,113,23,150,0,0
Basar,1316,4777,715,108,15,150,18,0
Bask,842,6463,617,90,15,150,0,0
Batisse,1039,5097,518,104,23,165,0,0
Beehoo,1291,6002,611,120,15,150,30,0
Belian,821,6751,648,110,15,150,18,0
Bellona,1003,5704,585,115,15,150,30,0
Benevolent Romann,957,5016,645,112,15,150,18,18
Benimaru,1177,5542,553,119,27,150,0,0
Bernard,594,4329,603,112,15,150,0,30
Birgitta,785,5077,634,114,15,150,30,0
Blaze Dingo,885,4167,627,109,15,150,12,18
Blood Blade Karin,1138,5871,462,111,23,150,0,0
Blood Moon Haste,621,5474,802,102,15,150,0,12
Blooming Lidica,1057,5542,532,118,15,150,30,0
Bomb Model Kanna,1182,5299,571,114,15,150,18,0
Boss Arunka,776,6593,822,93,15,150,0,18
Briar Witch Iseria,1182,5299,571,114,15,150,18,0
Brieg,821,6751,648,110,15,150,18,0
Butcher Corps Inquisitor,963,5138,606,95,23,150,0,0
Byblis,993,6002,611,120,15,150,0,0
Bystander Hwayoung,1208,6488,616,102,15,150,0,0
Camilla,885,4733,571,110,27,150,18,0
Captain Rikoris,1061,5517,583,104,25,150,10,0
Carmainerose,1168,3877,666,101,15,150,18,0
Carrot,1039,3925,606,114,27,150,0,0
Cartuja,903,6635,630,103,15,150,0,0
Cecilia,821,6751,648,110,15,150,18,0
Celeste,929,4733,494,128,15,150,0,0
Celestial Mercedes,1187,4491,627,101,27,160,0,0
Celine,1228,6266,473,113,23,150,0,0
Cerise,970,5299,603,122,27,150,0,0
Cermia,1359,5542,585,105,23,150,0,0
Challenger Dominiel,1187,4491,627,101,57,160,0,0
Champion Zerato,1159,4733,627,104,27,150,18,0
Chaos Inquisitor,963,5609,606,95,23,150,25,0
Chaos Sect Axe,1144,6013,624,101,23,150,0,0
Charles,957,6148,634,109,27,150,0,0
Charlotte,1134,5825,662,99,23,150,0,0
Chloe,1177,5542,553,119,27,150,0,0
Choux,966,7323,657,102,15,150,0,0
Christy,667,5784,749,90,15,150,0,18
Church of Ilryos Axe,1144,4895,543,101,23,150,0,0
Cidd,1029,5097,473,126,23,150,0,0
Clarissa,1252,5219,564,103,23,150,0,0
Claudia,703,5914,596,105,15,150,48,0
Closer Charles,1228,6266,473,113,23,150,0,0
Coli,1138,5871,462,111,23,150,0,0
Commander Lorina,1313,4895,543,101,23,150,0,50
Commander Pavel,1327,5138,582,109,23,150,0,0
Command Model Laika,1182,5299,571,114,15,150,18,0
Conqueror Lilias,885,6149,613,121,15,150,18,0
Corvus,903,6635,630,103,15,150,0,0
Crescent Moon Rin,1027,5299,469,126,15,150,0,0
Crimson Armin,821,6266,703,97,15,150,0,12
Crozet,739,6868,733,93,15,150,0,0
Dark Corvus,966,7323,657,102,15,150,0,0
Death Dealer Ray,621,6034,775,100,15,150,0,0
Desert Jewel Basar,694,4855,655,117,15,150,0,30
Designer Lilibet,975,7054,652,106,15,150,0,0
Destina,621,6034,775,100,15,150,0,0
Diene,694,4855,655,117,15,150,0,30
Dingo,957,5057,592,112,27,150,18,0
Disciplinary Prefect Aria,966,7323,657,102,15,150,0,0
Dizzy,1039,5299,673,115,15,150,18,18
Doll Maker Pearlhorizon,921,5742,631,112,15,150,33,18
Dominiel,957,5016,645,112,15,150,18,18
Doris,540,5319,705,96,15,150,0,0
Dragon Bride Senya,894,7524,694,104,15,150,0,0
Dragon King Sharun,785,5077,634,114,15,150,30,0
Eaton,685,7684,703,91,15,150,0,0
Eda,1255,5016,652,106,27,150,18,0
Edward Elric,984,6266,637,117,15,150,0,0
Elena,649,5254,694,105,15,150,0,30
Eligos,1283,4976,536,124,15,200,0,0
Elphelt,1003,5704,585,115,15,150,30,0
Elson,540,4900,729,98,15,150,0,12
Elvira,1057,5542,532,118,15,150,30,50
Emilia,649,5254,694,105,15,150,0,30
Empyrean Ilynav,794,7332,767,95,15,150,0,0
