Name,Rarity,ATK,HP,DEF,SPD,CR%,CD%,EFF%,RES%
Abigail,5,984,6266,637,117,15,150,0,0
Abyssal Yufine,5,830,6619,713,106,23,150,0,0
Achates,4,603,4945,662,103,15,150,0,30
Adin,3,1081,4572,494,111,23,150,0,0
Adlay,3,1039,3925,606,114,27,150,0,0
Adventurer Ras,3,758,6818,672,101,15,150,25,12
ae-GISELLE,5,1286,4733,652,103,27,160,0,0
ae-KARINA,5,821,6751,648,110,15,150,18,0
ae-NINGNING,5,785,5077,634,114,15,150,30,0
ae-WINTER,5,1057,5542,532,118,15,150,30,0
Afternoon Soak Flan,5,1182,5299,571,114,15,150,18,0
Ainos,3,812,3925,599,107,15,150,12,18
Ainos 2.0,3,812,4801,688,112,15,150,12,18
Ains,3,951,5517,583,104,15,150,0,0
Ainz Ooal Gown,5,1039,5299,673,115,15,150,18,18
Aither,3,712,4592,672,103,15,150,0,0
Albedo,5,894,6840,694,104,15,150,0,0
Alencia,5,975,7054,652,106,35,150,0,0
Alexa,3,1081,4572,494,111,23,150,0,0
All-Rounder Wanda,3,1005,5333,532,109,15,150,30,0
Ambitious Tywin,5,894,6840,694,104,15,150,0,0
Amid,5,694,4855,655,117,15,150,0,30
Amiki,3,1019,5738,571,98,15,150,0,0
Angel of Light Angelica,4,957,5016,645,112,15,150,18,18
Angelic Montmorancy,3,540,5928,729,98,15,150,0,52
Angelica,4,576,5700,743,98,15,150,0,0
Apocalypse Ravi,5,975,7054,652,106,15,150,0,0
Aram,5,785,5077,634,114,15,150,30,0
Aramintha,5,1197,4572,683,106,15,150,30,0
Arbiter Vildred,5,1283,5138,522,116,23,150,0,0
Archdemon's Shadow,5,1316,4777,715,108,15,150,18,0
Architect Laika,5,1306,4248,652,121,23,150,0,0
Aria,5,1039,5299,673,115,45,150,18,18
Armin,4,721,6189,785,91,15,150,0,18
Arowell,3,758,5826,672,95,15,150,0,12
Arunka,5,1570,6488,616,102,15,150,0,0
Assassin Cartuja,4,1119,6091,594,100,15,150,0,0
Assassin Cidd,4,930,4774,497,128,35,150,0,0
Assassin Coli,4,1027,5299,469,126,15,150,0,0
Astromancer Elena,5,1079,5502,564,115,27,160,0,0
Auxiliary Lots,4,1021,5474,610,117,15,150,0,0
Azalea,3,1019,5738,571,98,15,150,0,0
Baal & Sezan,5,1197,4572,683,106,15,150,30,0
Bad Cat Armin,4,912,5871,614,115,15,150,0,0
Baiken,5,1228,6266,473,113,23,150,0,0
Basar,5,1316,4777,715,108,15,150,18,0
Bask,3,842,6463,617,90,15,150,0,0
Batisse,3,1039,5097,518,104,23,165,0,0
Beehoo,5,1291,6002,611,120,15,150,30,0
Belian,5,821,6751,648,110,15,150,18,0
Bellona,5,1003,5704,585,115,15,150,30,0
Benevolent Romann,4,957,5016,645,112,15,150,18,18
Benimaru,5,1177,5542,553,119,27,150,0,0
Bernard,3,594,4329,603,112,15,150,0,30
Birgitta,5,785,5077,634,114,15,150,30,0
Blaze Dingo,4,885,4167,627,109,15,150,12,18
Blood Blade Karin,4,1138,5871,462,111,23,150,0,0
Blood Moon Haste,5,621,5474,802,102,15,150,0,12
Blooming Lidica,5,1057,5542,532,118,15,150,30,0
Bomb Model Kanna,5,1182,5299,571,114,15,150,18,0
Boss Arunka,5,776,6593,822,93,15,150,0,18
Briar Witch Iseria,5,1182,5299,571,114,15,150,18,0
Brieg,5,821,6751,648,110,15,150,18,0
Butcher Corps Inquisitor,3,963,5138,606,95,23,150,0,0
Byblis,5,993,6002,611,120,15,150,0,0
Bystander Hwayoung,5,1208,6488,616,102,15,150,0,0
Camilla,3,885,4733,571,110,27,150,18,0
Captain Rikoris,3,1061,5517,583,104,25,150,10,0
Carmainerose,3,1168,3877,666,101,15,150,18,0
Carrot,3,1039,3925,606,114,27,150,0,0
Cartuja,4,903,6635,630,103,15,150,0,0
Cecilia,5,821,6751,648,110,15,150,18,0
Celeste,3,929,4733,494,128,15,150,0,0
Celestial Mercedes,4,1187,4491,627,101,27,160,0,0
Celine,5,1228,6266,473,113,23,150,0,0
Cerise,5,970,5299,603,122,27,150,0,0
Cermia,5,1359,5542,585,105,23,150,0,0
Challenger Dominiel,4,1187,4491,627,101,57,160,0,0
Champion Zerato,4,1159,4733,627,104,27,150,18,0
Chaos Inquisitor,3,963,5609,606,95,23,150,25,0
Chaos Sect Axe,3,1144,6013,624,101,23,150,0,0
Charles,5,957,6148,634,109,27,150,0,0
Charlotte,5,1134,5825,662,99,23,150,0,0
Chloe,5,1177,5542,553,119,27,150,0,0
Choux,5,966,7323,657,102,15,150,0,0
Christy,3,667,5784,749,90,15,150,0,18
Church of Ilryos Axe,3,1144,4895,543,101,23,150,0,0
Cidd,4,1029,5097,473,126,23,150,0,0
Clarissa,4,1252,5219,564,103,23,150,0,0
Claudia,3,703,5914,596,105,15,150,48,0
Closer Charles,5,1228,6266,473,113,23,150,0,0
Coli,4,1138,5871,462,111,23,150,0,0
Commander Lorina,3,1313,4895,543,101,23,150,0,50
Commander Pavel,5,1327,5138,582,109,23,150,0,0
Command Model Laika,5,1182,5299,571,114,15,150,18,0
Conqueror Lilias,5,885,6149,613,121,15,150,18,0
Corvus,4,903,6635,630,103,15,150,0,0
Crescent Moon Rin,4,1027,5299,469,126,15,150,0,0
Crimson Armin,4,821,6266,703,97,15,150,0,12
Crozet,4,739,6868,733,93,15,150,0,0
Dark Corvus,5,966,7323,657,102,15,150,0,0
Death Dealer Ray,5,621,6034,775,100,15,150,0,0
Desert Jewel Basar,5,694,4855,655,117,15,150,0,30
Designer Lilibet,5,975,7054,652,106,15,150,0,0
Destina,5,621,6034,775,100,15,150,0,0
Diene,5,694,4855,655,117,15,150,0,30
Dingo,4,957,5057,592,112,27,150,18,0
Disciplinary Prefect Aria,5,966,7323,657,102,15,150,0,0
Dizzy,5,1039,5299,673,115,15,150,18,18
Doll Maker Pearlhorizon,3,921,5742,631,112,15,150,33,18
Dominiel,4,957,5016,645,112,15,150,18,18
Doris,3,540,5319,705,96,15,150,0,0
Dragon Bride Senya,5,894,7524,694,104,15,150,0,0
Dragon King Sharun,5,785,5077,634,114,15,150,30,0
Eaton,3,685,7684,703,91,15,150,0,0
Eda,5,1255,5016,652,106,27,150,18,0
Edward Elric,5,984,6266,637,117,15,150,0,0
Elena,5,649,5254,694,105,15,150,0,30
Eligos,5,1283,4976,536,124,15,200,0,0
Elphelt,5,1003,5704,585,115,15,150,30,0
Elson,3,540,4900,729,98,15,150,0,12
Elvira,5,1057,5542,532,118,15,150,30,50
Emilia,5,649,5254,694,105,15,150,0,30
Empyrean Ilynav,5,794,7332,767,95,15,150,0,0
Enott,3,1019,5738,571,98,15,150,0,0
Ervalen,5,1228,6266,473,113,23,150,0,0
Eternal Wanderer Ludwig,5,1412,4248,645,112,23,150,0,0
Ezra,3,921,4945,462,122,15,150,18,0
Fairytale Tenebria,5,1039,5299,673,115,15,150,18,18
Faithless Lidica,5,1182,5299,571,114,15,150,18,0
Falconer Kluri,3,703,5914,625,114,15,150,18,0
Fallen Cecilia,5,894,6840,694,104,15,150,0,0
Fenne,5,621,6034,775,100,45,150,0,0
Fenris,5,1327,5138,582,109,23,150,0,0
Festive Eda,5,1102,5782,634,120,15,150,0,0
Fighter Maya,4,821,6266,703,97,15,150,0,12
Flan,5,1003,5704,585,115,15,150,30,0
Free Spirit Tieria,4,957,5057,592,112,27,150,18,0
Frida,5,694,4855,655,117,15,150,0,30
Fumyr,5,1102,5782,634,120,15,150,0,0
Furious,4,1068,5650,536,110,23,150,0,0
General Purrgis,4,903,6635,630,103,15,150,0,0
Glenn,3,920,4855,525,110,27,160,0,0
Gloomyrain,3,1199,4491,613,107,23,150,0,0
Godmother,3,1005,4693,532,109,15,150,18,0
Great Chief Khawana,4,1138,5421,536,106,53,165,0,0
Guard Captain Krau,5,984,6266,637,117,15,150,0,0
Guider Aither,4,1252,4612,627,107,23,150,0,0
Gunther,3,1664,5517,583,104,15,150,0,0
Harsetti,5,1039,6034,613,124,15,150,0,0
Hasol,3,758,6002,639,101,15,150,0,0
Haste,5,1089,5380,511,120,27,150,12,0
Hataan,3,1081,4572,494,111,23,150,0,0
Hazel,3,849,4450,662,101,15,150,0,0
Helen,3,685,6403,703,91,15,150,0,0
Helga,3,1000,4895,518,114,27,150,0,0
Hellion Lua,5,993,6002,611,120,15,150,0,0
Holiday Yufine,5,1119,6266,627,109,15,150,0,0
Holy Flame Adin,3,1199,5194,494,111,23,150,25,0
Hurado,3,930,5121,585,115,15,150,0,0
Hwayoung,5,1119,6266,627,109,15,150,0,0
Ian,3,1081,4450,504,118,15,150,0,0
Ilynav,5,957,6148,634,109,27,150,0,0
Immortal Wukong,5,1208,6488,616,102,15,150,0,0
Inferno Khawazu,4,1119,6091,594,100,15,150,0,0
Infinite Horizon Achates,4,576,5165,767,100,15,150,0,12
Inheritor Amiki,3,1179,5738,571,107,15,150,0,0
Iseria,5,1158,6002,553,112,23,150,0,0
